customer_id,first_name,last_name,gender,age,dob,email,phone_number,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value
1,Patricia,Macdonald,Female,51,1973-12-16,wilsonchristopher@hotmail.com,(568)800-3705,1,590,3,0,2022-03-10,49,453.22
2,Destiny,Evans,Other,56,1968-07-13,garciarobert@meyers.info,3579858634,0,648,4,0,2024-07-02,23,49.87
3,Sarah,Stone,Other,21,2003-09-12,gregorynichols@contreras.info,(233)051-2972x83053,0,1783,10,0,2023-06-24,45,178.78
4,Tara,Peterson,Female,25,1999-06-04,wcaldwell@yahoo.com,+1-980-912-2768x5416,1,514,9,0,2022-10-09,48,408.14
5,Patrick,Petersen,Female,57,1967-11-21,matthew65@miller.com,001-770-382-4507x93902,0,689,2,1,2020-07-24,4,328.8
6,Laura,Alexander,Female,67,1957-05-26,woodsvictoria@rodriguez-richard.com,001-149-904-5009x297,1,27,8,0,2023-03-25,41,246.59
7,Stephanie,Lynch,Male,52,1972-05-18,amy23@brown.com,693.754.8148x598,0,5,1,0,2024-07-18,35,324.09
8,Jeffrey,Hernandez,Other,57,1967-03-26,nicolerogers@hotmail.com,+1-440-323-8796x371,0,909,8,0,2024-05-28,11,377.84
9,Ernest,Holland,Female,58,1966-06-25,elizabeth80@yahoo.com,(213)514-4660,0,457,5,0,2021-05-28,24,407.68
10,Timothy,Shaffer,Female,28,1996-12-29,youngeddie@potter.com,+1-399-944-2087x70978,0,405,2,0,2020-04-29,7,93.5
11,Mark,Stout,Female,21,2004-01-21,imitchell@yahoo.com,7752419314,1,4,2,1,2021-09-15,6,101.16
12,Michael,Bradford,Other,44,1980-07-20,cindy70@williams-donovan.net,0944381609,1,935,4,0,2024-04-29,18,288.55
13,Kristen,Nelson,Other,42,1983-01-25,harriskevin@hanson.org,231-337-0029x05615,0,542,6,1,2024-02-18,35,245.62
14,Isaac,Aguirre,Other,34,1990-08-28,utucker@sweeney-davidson.com,(390)572-9702x470,1,855,5,1,2020-09-20,49,85.47
15,Earl,Davis,Male,18,2006-10-04,davidmurphy@hotmail.com,911-432-4645,1,346,1,0,2020-11-20,50,10.93
16,Mark,Molina,Other,31,1993-03-08,jeremy13@hotmail.com,+1-295-239-2927x030,1,1771,7,0,2024-07-31,39,142.67
17,Linda,Morgan,Male,46,1978-11-02,millerblake@yahoo.com,385.822.8166x46228,0,670,7,1,2023-06-10,16,406.57
18,Samuel,Santos,Male,39,1985-10-08,halljessica@gmail.com,801-443-4923x238,1,1117,2,1,2021-11-04,8,305.29
