,invoice_no,category,item,quantity,price,location_id,customer_id,invoice_date,payment_id,payment_method,card_type,Unnamed: 3,shopping_mall,city,province_state,country,first_name,last_name,gender,age,dob,email,phone_number,is_churned,days_since_last_purchase,tenure,discount_used,last_purchase_date,purchase_frequency,avg_purchase_value
0,100000,Hair Care,Hair Oil,1,17.45,1,398,2023-03-22,2,Credit Card - MasterCard,MasterCard,,Mall of America,Bloomington,Minnesota,US,Tiffany,Thomas,Female,25.0,1999-07-13,michealbender@gmail.com,(309)938-3205x8088,1.0,1056.0,8.0,0.0,2021-08-15,30.0,280.82
1,100001,Body Care and Hygiene,Deodorant,4,20.81,21,938,2024-04-06,9,Apple Pay,,,Fashion Show Mall,Las Vegas,Nevada,US,Angela,Wolf,Male,30.0,1995-01-18,nicholasclark@flowers.net,(363)377-7602,1.0,1494.0,1.0,0.0,2020-01-19,30.0,52.4
2,100002,Skin Care,Face Wash,4,40.96,17,258,2022-05-31,10,Google Pay,,,Lakeside Shopping Centre,Thurrock,Essex,UK,Jonathan,Russell,Female,22.0,2002-10-11,geraldcastro@mosley.com,661-041-4070x466,0.0,386.0,6.0,1.0,2021-04-06,42.0,165.9
3,100003,Body Care and Hygiene,Body Lotion,2,27.5,9,892,2021-01-01,10,Google Pay,,,Bullring & Grand Central,Birmingham,West Midlands,UK,Nicholas,Smith,Other,32.0,1992-12-29,vguerrero@green.org,712-518-4596x428,0.0,482.0,3.0,1.0,2022-05-17,28.0,427.81
4,100004,Oral Care,Toothpaste,1,16.43,55,978,2020-02-10,7,Cash,,,The Galleria at Fort Lauderdale,Fort Lauderdale,Florida,US,Tara,Adams,Other,35.0,1989-08-17,qfloyd@gmail.com,249-201-6223,0.0,1309.0,2.0,1.0,2023-01-28,31.0,321.2
5,100005,Body Care and Hygiene,Hand Sanitizer,2,10.48,31,426,2024-04-07,1,Credit Card - Visa,Visa,,Cherry Creek Shopping Center,Denver,Colorado,US,Jamie,Gray,Other,29.0,1996-02-02,jose27@boyd.com,+1-926-175-3926x893,0.0,1516.0,7.0,0.0,2022-08-30,6.0,467.49
6,100006,Skin Care,Moisturizer,3,43.91,52,509,2021-03-05,5,Debit Card - MasterCard,MasterCard,,Pheasant Lane Mall,Nashua,New Hampshire,US,Katherine,Anderson,Male,37.0,1988-01-09,uphillips@west.org,047.456.8179,1.0,593.0,4.0,1.0,2023-11-19,25.0,252.29
7,100007,Skin Care,Face Wash,4,10.75,58,242,2023-04-01,7,Cash,,,Town Center at Boca Raton,Boca Raton,Florida,US,Lawrence,Nixon,Other,58.0,1966-10-12,lmoreno@hotmail.com,(157)403-1633,1.0,1693.0,9.0,1.0,2023-12-16,11.0,285.01
8,100008,Body Care and Hygiene,Body Lotion,3,20.2,15,276,2022-04-03,4,Debit Card - Visa,Visa,,Meadowhall,Sheffield,South Yorkshire,UK,Andrew,Valdez,Other,63.0,1961-12-31,joseph16@beard.com,985-278-0055,1.0,782.0,2.0,1.0,2022-03-16,26.0,352.41
9,100009,Hair Care,Shampoo,4,5.46,17,568,2023-05-14,5,Debit Card - MasterCard,MasterCard,,Lakeside Shopping Centre,Thurrock,Essex,UK,Connie,Mathis,Male,37.0,1987-10-23,kstrickland@yahoo.com,001-861-794-7359,1.0,389.0,6.0,0.0,2021-01-31,49.0,484.24
10,100010,Body Care and Hygiene,Hand Sanitizer,4,21.72,52,233,2020-12-21,1,Credit Card - Visa,Visa,,Pheasant Lane Mall,Nashua,New Hampshire,US,Jonathan,Gray,Female,32.0,1992-04-01,iwells@yahoo.com,(980)033-6097x04524,0.0,636.0,6.0,0.0,2023-09-14,44.0,30.76
11,100011,Body Care and Hygiene,Hand Sanitizer,3,9.02,13,443,2022-02-09,4,Debit Card - Visa,Visa,,The Grove,Los Angeles,California,US,Nicholas,Allen,Other,25.0,1999-05-02,cbrown@page.com,393.005.7189x15735,0.0,993.0,7.0,1.0,2023-10-27,25.0,175.76
12,100012,Hair Care,Conditioner,1,12.45,58,567,2022-02-20,7,Cash,,,Town Center at Boca Raton,Boca Raton,Florida,US,Amanda,Shaffer,Female,57.0,1967-03-30,calhoungina@gmail.com,001-996-958-0573,1.0,950.0,7.0,1.0,2022-11-27,40.0,164.95
13,100013,Oral Care,Toothpaste,4,12.64,41,272,2021-12-18,4,Debit Card - Visa,Visa,,Stanford Shopping Center,Palo Alto,California,US,Austin,Spence,Female,44.0,1981-02-16,barnetterika@underwood.com,+1-062-734-3548,1.0,336.0,10.0,1.0,2021-05-24,7.0,341.15
14,100014,Oral Care,Mouthwash,1,2.58,46,878,2020-01-03,4,Debit Card - Visa,Visa,,Park Meadows,Lone Tree,Colorado,US,Tracy,Underwood,Male,60.0,1964-10-12,joan57@howard.com,(041)023-3725x4069,1.0,197.0,8.0,1.0,2021-02-25,45.0,177.4
15,100015,Hair Care,Hair Oil,4,6.3,42,412,2024-06-03,10,Google Pay,,,Brookfield Place,New York,New York,US,Curtis,Salazar,Other,53.0,1972-02-01,aaronstewart@gmail.com,(709)808-5912,0.0,489.0,6.0,1.0,2023-02-11,21.0,15.36
16,100016,Skin Care,Sunscreen,3,49.9,16,517,2020-04-12,8,BNPL (Buy Now, Pay Later),,The Oracle,Reading,Berkshire,UK,David,Ferguson,Male,70.0,1954-03-16,davidthomas@yahoo.com,(207)299-2339,1.0,1338.0,10.0,1.0,2021-10-16,21.0,496.17
